City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Rio Grande,BR,-32.03,-52.10,59.11,85,56,9.53,broken clouds
129,Katsuura,JP,35.13,140.30,78.42,84,0,9.57,clear sky
130,Mocuba,MZ,-16.84,36.99,62.87,98,59,3.49,broken clouds
131,Ferme-Neuve,CA,46.70,-75.45,70.92,51,99,10.94,overcast clouds
132,Leshan,CN,29.56,103.76,73.02,74,100,2.75,overcast clouds
133,Chulman,RU,56.85,124.91,68.76,81,84,5.64,broken clouds
134,Kitakyushu,JP,33.83,130.83,79.34,87,75,8.05,broken clouds
135,Ixtlan Del Rio,MX,21.03,-104.37,88.3,39,68,7.29,broken clouds
136,Dingle,PH,11.00,122.67,76.84,88,100,7.7,overcast clouds
137,Half Moon Bay,US,37.46,-122.43,77.81,72,100,17.27,mist
138,Bosobolo,CD,4.18,19.90,70.36,95,100,0.45,light rain
139,The Valley,AI,18.22,-63.06,85.86,70,40,16.11,scattered clouds
140,Berdigestyakh,RU,62.10,126.70,62.78,68,96,2.68,overcast clouds
141,Bandiagara,ML,14.35,-3.61,91.13,34,85,8.57,overcast clouds
142,Naze,JP,28.37,129.48,77.92,84,59,15.48,light rain
143,Korla,CN,41.76,86.15,82.74,26,27,3.36,scattered clouds
144,Muros,ES,42.78,-9.06,59.09,87,3,5.79,clear sky
145,Chuy,UY,-33.70,-53.46,49.03,82,87,7.72,overcast clouds
146,Texarkana,US,33.43,-94.05,93.42,46,0,0.0,clear sky
147,Samarai,PG,-10.62,150.67,81.57,83,97,16.22,overcast clouds
148,Hambantota,LK,6.12,81.12,77.34,83,20,4.61,few clouds
149,Bredasdorp,ZA,-34.53,20.04,56.16,46,0,4.88,clear sky
150,Basoko,CD,1.24,23.62,72.39,87,55,3.47,broken clouds
151,San Patricio,US,28.02,-97.52,95.16,52,56,16.78,broken clouds
152,Jalu,LY,29.03,21.55,89.22,25,0,7.29,clear sky
153,Haines Junction,CA,60.75,-137.51,67.95,45,27,4.61,scattered clouds
154,Mecca,SA,21.43,39.83,88.11,22,3,7.25,clear sky
155,Tuatapere,NZ,-46.13,167.68,41.54,88,80,11.23,light rain
156,Saldanha,ZA,-33.01,17.94,55.45,45,0,22.37,clear sky
157,Mount Isa,AU,-20.73,139.50,51.57,100,100,10.36,light rain
158,Yagodnoye,RU,62.55,149.67,70.9,47,64,4.88,broken clouds
159,Port Moresby,PG,-9.44,147.18,72.82,94,20,3.44,haze
160,Nanortalik,GL,60.14,-45.24,43.36,77,84,10.38,broken clouds
161,Oulainen,FI,64.27,24.80,62.82,55,0,3.83,clear sky
162,Longyearbyen,SJ,78.22,15.64,48.04,81,75,21.85,light intensity drizzle
163,Salalah,OM,17.02,54.09,80.44,87,100,9.24,overcast clouds
164,Carlos Chagas,BR,-17.70,-40.77,71.78,61,11,12.91,few clouds
165,Qaqortoq,GL,60.72,-46.03,44.91,73,93,1.7,overcast clouds
166,New Norfolk,AU,-42.78,147.06,38.7,86,11,1.01,few clouds
167,Mahebourg,MU,-20.41,57.70,68.29,88,75,5.75,broken clouds
168,Yarmouth,US,41.71,-70.23,79.27,51,0,6.91,clear sky
169,Hurghada,EG,27.26,33.81,89.64,23,0,5.75,clear sky
170,Rochegda,RU,62.80,43.25,48.07,64,37,2.71,scattered clouds
171,Dicabisagan,PH,17.08,122.42,80.33,83,100,8.81,overcast clouds
172,Banyo,CM,6.75,11.82,65.62,96,100,2.48,overcast clouds
173,Vao,NC,-22.67,167.48,69.1,69,100,15.97,overcast clouds
174,Serowe,BW,-22.38,26.72,54.45,72,85,7.63,overcast clouds
175,Iralaya,HN,15.00,-83.23,82.85,73,99,10.07,overcast clouds
176,Pahrump,US,36.21,-115.98,103.24,12,0,5.99,clear sky
177,Talara,PE,-4.58,-81.27,74.16,60,0,16.11,clear sky
178,Okhotsk,RU,59.38,143.30,58.71,87,100,3.65,overcast clouds
179,Asau,RO,46.43,26.40,63.52,73,64,3.2,broken clouds
180,Alofi,NU,-19.06,-169.92,80.49,78,75,9.22,broken clouds
181,Mpulungu,ZM,-8.76,31.11,68.68,64,6,13.56,clear sky
182,Rochester,US,43.15,-77.62,87.94,53,75,13.8,broken clouds
183,Hofn,IS,64.25,-15.21,51.78,89,91,4.97,overcast clouds
184,Noyabrsk,RU,63.20,75.45,55.56,62,95,23.98,overcast clouds
185,Khasan,RU,42.43,130.64,59.74,97,100,4.61,overcast clouds
186,West Mifflin,US,40.36,-79.87,90.3,36,0,8.05,clear sky
187,Acarau,BR,-2.89,-40.12,78.98,81,3,15.26,clear sky
188,Wahiawa,US,21.50,-158.02,80.92,60,20,16.11,few clouds
189,Saint-Philippe,RE,-21.36,55.77,66.22,69,68,10.04,broken clouds
190,Saint-Georges,GD,12.06,-61.75,83.88,74,20,14.97,few clouds
191,Lata,PT,40.16,-8.33,61.07,92,0,3.87,clear sky
192,Ancud,CL,-41.87,-73.82,44.22,85,100,10.54,overcast clouds
193,Pavlogradka,RU,54.20,73.56,48.13,82,28,11.14,scattered clouds
194,Pevek,RU,69.70,170.31,33.58,97,100,0.74,light snow
195,Walvis Bay,NA,-22.96,14.51,76.15,29,38,6.91,scattered clouds
196,Ambon,ID,-3.70,128.18,76.23,16,20,3.44,few clouds
197,Arraial Do Cabo,BR,-22.97,-42.03,67.96,77,40,5.75,scattered clouds
198,Barrow,US,71.29,-156.79,53.62,66,0,11.5,clear sky
199,Shimoda,JP,34.67,138.95,82.11,84,6,6.49,clear sky
200,Port Macquarie,AU,-31.43,152.92,50.9,75,100,4.88,overcast clouds
201,Butzow,DE,53.85,11.98,68.2,97,19,7.94,few clouds
202,Ahipara,NZ,-35.17,173.17,60.64,79,88,10.4,overcast clouds
203,Merauke,ID,-8.47,140.33,77.45,91,37,9.08,scattered clouds
204,Esperance,AU,-33.87,121.90,48.99,82,0,8.21,clear sky
205,Tuktoyaktuk,CA,69.45,-133.04,62.6,63,75,8.05,broken clouds
206,Varadero,CU,23.15,-81.25,84.45,74,23,16.67,few clouds
207,Ust-Kalmanka,RU,52.12,83.31,52.48,72,0,4.9,clear sky
208,Norman Wells,CA,65.28,-126.83,71.64,49,20,9.22,few clouds
209,Nikolskoye,RU,59.70,30.79,63.88,50,7,0.27,clear sky
210,Markivka,UA,49.52,39.57,59.27,79,6,4.41,clear sky
211,Nichinan,JP,31.60,131.37,74.88,85,5,3.58,clear sky
212,Batemans Bay,AU,-35.72,150.18,51.1,78,100,7.72,overcast clouds
213,Chara,RU,56.91,118.26,74.7,60,26,0.58,scattered clouds
214,Taoudenni,ML,22.68,-3.98,104.61,9,54,5.66,broken clouds
215,Meulaboh,ID,4.14,96.13,74.59,79,100,4.81,overcast clouds
216,Cabra,ES,37.47,-4.44,75.65,35,52,2.8,broken clouds
217,Makarov,RU,48.63,142.80,58.14,85,26,3.06,scattered clouds
218,Chardara,KZ,41.25,67.97,75.25,24,0,10.87,clear sky
219,Ulladulla,AU,-35.35,150.47,51.89,78,96,7.96,overcast clouds
220,Kosh-Agach,RU,50.00,88.67,54.77,69,87,4.45,overcast clouds
221,Kahta,TR,37.79,38.62,81.77,44,0,3.29,clear sky
222,Svetlaya,RU,46.54,138.33,58.19,93,98,6.26,overcast clouds
223,Mandiana,GN,10.63,-8.68,71.64,82,100,8.7,overcast clouds
224,Bubaque,GW,11.28,-15.83,81.39,79,32,10.18,scattered clouds
225,Machali,CL,-34.18,-70.67,65.48,42,75,5.75,haze
226,Pisco,PE,-13.70,-76.22,64.45,72,0,9.22,clear sky
227,Impfondo,CG,1.64,18.07,72.64,83,71,1.07,broken clouds
228,Muroto,JP,33.28,134.15,79.02,80,0,1.19,clear sky
229,Rosetta,EG,31.40,30.42,75.11,79,0,6.82,clear sky
230,Opuwo,NA,-18.06,13.84,56.55,49,90,6.82,overcast clouds
231,Wilmington,US,34.23,-77.94,84.11,72,0,8.05,clear sky
232,Pontes E Lacerda,BR,-15.23,-59.34,76.77,44,37,2.39,scattered clouds
233,East London,ZA,-33.02,27.91,61.27,41,0,6.4,clear sky
234,San Blas,MX,21.52,-105.27,86.86,67,37,9.89,scattered clouds
235,Vila,PT,42.03,-8.16,51.69,77,1,2.62,clear sky
236,Kitob,UZ,39.08,66.83,77.77,28,0,8.55,clear sky
237,Capreol,CA,46.71,-80.92,69.55,77,100,18.41,overcast clouds
238,Kalabo,ZM,-14.97,22.68,57.69,52,70,4.68,broken clouds
239,Tairua,NZ,-37.02,175.85,58.24,81,60,9.89,broken clouds
240,Dhidhdhoo,MV,6.88,73.10,82.33,76,100,20.38,light rain
241,Boende,CD,-0.22,20.87,72.79,83,48,1.99,scattered clouds
242,Nurota,UZ,40.56,65.69,76.8,18,0,9.37,clear sky
243,Riverton,US,40.52,-111.94,93.7,31,75,5.75,light rain
244,Cockburn Town,TC,21.46,-71.14,85.96,62,40,18.41,scattered clouds
245,Paamiut,GL,61.99,-49.67,41.16,83,98,14.88,overcast clouds
246,Zhigansk,RU,66.77,123.37,54.68,81,46,9.75,scattered clouds
247,Labuhan,ID,-6.88,112.21,74.97,89,78,8.59,broken clouds
248,Iqaluit,CA,63.75,-68.51,46.13,81,100,3.44,overcast clouds
249,Provideniya,RU,64.38,-173.30,53.71,82,100,8.99,overcast clouds
250,Zagare,LT,56.36,23.25,68.43,95,91,6.71,overcast clouds
251,Brae,GB,60.40,-1.35,54.91,95,95,6.87,overcast clouds
252,Morwell,AU,-38.23,146.40,42.4,86,100,0.98,overcast clouds
253,Port Blair,IN,11.67,92.75,80.64,89,40,2.3,mist
254,Chapais,CA,49.78,-74.85,67.78,44,100,14.0,overcast clouds
255,Oussouye,SN,12.48,-16.55,84.38,78,11,7.45,few clouds
256,Tombouctou,ML,20.00,-3.00,97.47,15,4,18.66,clear sky
257,Kampot,KH,10.62,104.18,78.85,83,100,8.12,overcast clouds
258,Sitka,US,57.05,-135.33,60.69,63,75,8.05,broken clouds
259,Severo-Yeniseyskiy,RU,60.37,93.04,52.65,95,1,3.27,clear sky
260,Casa Nova,BR,-9.42,-41.13,80.69,41,9,11.52,clear sky
261,Flinders,AU,-34.58,150.86,52.18,85,100,1.99,light rain
262,Yining,CN,29.04,114.56,75.4,96,15,2.06,few clouds
263,Twin Falls,US,42.35,-114.64,82.92,16,35,8.77,scattered clouds
264,Dabhol,IN,17.60,73.17,77.74,90,100,7.87,moderate rain
265,Kamenka,RU,51.32,42.77,54.93,77,6,6.55,clear sky
266,Aksu,CN,41.12,80.26,80.1,30,26,3.24,scattered clouds
267,Beringovskiy,RU,63.05,179.32,43.38,98,100,8.9,light rain
268,Pontalina,BR,-17.52,-49.45,71.78,35,96,3.89,overcast clouds
269,Silopi,TR,37.25,42.47,84.11,15,0,5.88,clear sky
270,Cavalcante,BR,-13.80,-47.46,68.34,37,35,4.29,scattered clouds
271,Kiunga,PG,-6.12,141.29,74.62,96,35,0.51,scattered clouds
272,San Quintin,MX,30.48,-115.95,74.5,64,1,15.21,clear sky
273,Novyy Urengoy,RU,66.08,76.63,50.94,68,0,18.88,clear sky
274,Clyde River,CA,70.47,-68.59,39.43,70,0,12.66,clear sky
275,Carroll,US,39.55,-77.02,90.91,39,0,3.0,clear sky
276,Puerto Escondido,MX,15.85,-97.07,86.38,68,98,5.7,overcast clouds
277,Edeia,BR,-17.34,-49.93,73.11,35,85,3.33,overcast clouds
278,Deputatskiy,RU,69.30,139.90,49.5,66,99,2.62,overcast clouds
279,Biak,ID,-0.91,122.88,75.16,87,17,1.01,few clouds
280,Bambous Virieux,MU,-20.34,57.76,68.25,88,75,5.75,light rain
281,Yaan,NG,7.38,8.57,74.26,89,99,9.71,overcast clouds
282,Zhenlai,CN,45.85,123.30,76.12,62,50,3.58,scattered clouds
283,Magadan,RU,59.57,150.80,52.65,94,100,3.31,light rain
284,Kendari,ID,-3.94,122.50,73.96,94,36,0.76,scattered clouds
285,Kruisfontein,ZA,-34.00,24.73,57.54,33,0,8.1,clear sky
286,Oranjemund,NA,-28.55,16.43,66.87,36,7,3.67,clear sky
287,Hervey Bay,AU,-25.30,152.85,63.01,97,100,8.99,overcast clouds
288,Bagdarin,RU,54.43,113.60,65.66,71,5,2.28,clear sky
289,Orlik,RU,52.52,99.83,56.86,61,18,2.73,few clouds
290,Husavik,IS,66.04,-17.34,50.16,90,83,5.41,broken clouds
291,Lompoc,US,34.64,-120.46,87.78,71,0,17.27,clear sky
292,Svetlyy,RU,54.67,20.13,68.05,96,95,12.03,light rain
293,Prince Rupert,CA,54.32,-130.32,59.09,83,100,8.05,overcast clouds
294,Mbini,GQ,1.57,9.61,75.38,86,99,6.8,overcast clouds
295,Rosignano Marittimo,IT,43.41,10.47,74.48,75,0,1.5,clear sky
296,Tura,IN,25.52,90.22,72.57,96,34,5.57,scattered clouds
297,Hvide Sande,DK,56.00,8.13,65.08,85,6,10.0,clear sky
298,Boa Vista,BR,2.82,-60.67,89.58,51,40,2.3,scattered clouds
299,Tual,ID,-5.67,132.75,81.25,78,70,8.12,light rain
300,Aguimes,ES,27.91,-15.45,68.67,62,40,25.01,scattered clouds
301,Ouadda,CF,8.08,22.40,66.96,96,91,0.89,light rain
302,Kirakira,SB,-10.45,161.92,82.67,77,59,16.37,light rain
303,Mbandaka,CD,0.05,18.26,73.87,74,67,1.54,broken clouds
304,San Juan Nepomuceno,CO,9.95,-75.08,83.59,77,27,2.89,light rain
305,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,72.19,46,0,15.66,clear sky
306,Ponta Do Sol,PT,32.67,-17.10,68.0,70,24,6.85,few clouds
307,Matelandia,BR,-25.24,-54.00,56.5,93,0,2.75,clear sky
308,Njombe,TZ,-9.33,34.77,49.62,96,85,6.06,overcast clouds
309,Butembo,CD,0.15,29.28,57.88,82,27,2.62,scattered clouds
310,Agira,IT,37.66,14.52,77.92,57,6,3.74,clear sky
311,Rafaela,AR,-31.25,-61.49,57.0,41,2,7.2,clear sky
312,Marsa Matruh,EG,31.35,27.25,77.2,78,0,9.22,clear sky
313,Slave Lake,CA,55.28,-114.77,67.98,73,0,4.61,clear sky
314,Alekseyevsk,RU,57.84,108.35,61.65,94,0,0.69,clear sky
315,Matamoros,MX,25.53,-103.25,92.43,24,13,9.62,few clouds
316,Romanovo,RU,52.62,81.23,50.02,72,0,6.22,clear sky
317,Saqqez,IR,36.25,46.27,66.6,37,0,1.88,clear sky
318,Kuusamo,FI,65.97,29.18,66.24,88,0,1.14,clear sky
319,Nokaneng,BW,-19.67,22.27,59.9,48,89,4.88,overcast clouds
320,Marolambo,MG,-20.05,48.12,58.57,95,75,2.35,broken clouds
321,San Carlos De Bariloche,AR,-41.15,-71.31,38.95,56,75,1.14,broken clouds
322,Akureyri,IS,65.68,-18.09,51.73,87,75,10.36,broken clouds
