City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Busselton,AU,2022-06-30 04:43:27,-33.65,115.3333,59.74,62,0,9.55
116,Mareeba,AU,2022-06-30 04:43:27,-17.0,145.4333,75.43,79,78,6.93
117,Hilo,US,2022-06-30 04:42:26,19.7297,-155.09,78.28,93,100,8.05
118,Bethel,US,2022-06-30 04:43:28,41.3712,-73.414,67.69,84,0,0.0
119,Lebu,CL,2022-06-30 04:42:41,-37.6167,-73.65,47.93,86,52,3.4
120,Saint-Philippe,RE,2022-06-30 04:43:28,-21.3585,55.7679,67.59,68,64,12.28
121,Narsaq,GL,2022-06-30 04:43:28,60.9167,-46.05,43.02,92,94,4.09
122,Soyo,AO,2022-06-30 04:43:29,-6.1349,12.3689,73.0,84,99,5.35
123,Yambio,SS,2022-06-30 04:43:29,4.5721,28.3955,67.1,95,73,2.3
124,Longyearbyen,SJ,2022-06-30 04:43:29,78.2186,15.6401,44.44,93,100,12.66
125,Nouadhibou,MR,2022-06-30 04:43:30,20.931,-17.0347,67.98,73,0,19.57
126,Gejiu,CN,2022-06-30 04:43:30,23.306,103.1635,67.89,75,86,2.3
127,Mahebourg,MU,2022-06-30 04:43:31,-20.4081,57.7,69.26,94,40,4.61
128,Champerico,GT,2022-06-30 04:43:31,14.3,-91.9167,79.47,82,36,3.4
129,Carros,FR,2022-06-30 04:43:31,43.7894,7.184,67.77,83,40,6.91
130,Faanui,PF,2022-06-30 04:43:32,-16.4833,-151.75,80.37,66,3,20.36
131,Grand Gaube,MU,2022-06-30 04:43:32,-20.0064,57.6608,69.39,72,92,5.01
132,Rundu,NA,2022-06-30 04:43:33,-17.9333,19.7667,49.71,76,66,8.19
133,Along,IN,2022-06-30 04:43:33,28.1667,94.7667,77.38,93,98,1.03
134,Kyra,RU,2022-06-30 04:43:33,49.5776,111.9753,84.47,39,18,8.03
135,Takanabe,JP,2022-06-30 04:43:34,32.1333,131.5,82.29,66,3,8.5
136,Leningradskiy,RU,2022-06-30 04:43:34,69.3833,178.4167,39.88,87,70,5.97
137,Stornoway,GB,2022-06-30 04:43:34,58.2093,-6.3865,47.93,93,63,0.0
138,Butaritari,KI,2022-06-30 04:43:35,3.0707,172.7902,81.91,78,100,15.52
139,Port Hawkesbury,CA,2022-06-30 04:43:36,45.6169,-61.3485,62.55,85,0,3.44
140,Pacific Grove,US,2022-06-30 04:41:52,36.6177,-121.9166,58.8,88,100,8.05
141,Torbay,CA,2022-06-30 04:43:37,47.6666,-52.7314,63.37,100,75,2.3
142,Vila Velha,BR,2022-06-30 04:42:43,-20.3297,-40.2925,69.75,89,0,5.75
143,Busayra,JO,2022-06-30 04:43:37,30.7376,35.6078,70.56,34,0,3.67
144,Karakol,KG,2022-06-30 04:43:37,42.4907,78.3936,74.66,39,0,5.44
145,Sibut,CF,2022-06-30 04:43:38,5.718,19.0739,68.09,98,83,1.41
146,Kununurra,AU,2022-06-30 04:43:38,-15.7667,128.7333,69.78,68,40,9.22
147,Zhangjiakou,CN,2022-06-30 04:41:05,40.81,114.8794,75.11,58,68,3.44
148,Khatanga,RU,2022-06-30 04:43:39,71.9667,102.5,53.82,38,31,10.83
149,Orissaare,EE,2022-06-30 04:43:39,58.5592,23.0826,73.35,88,80,9.98
150,Yumen,CN,2022-06-30 04:43:39,40.2833,97.2,83.44,24,71,3.67
151,Bonthe,SL,2022-06-30 04:41:38,7.5264,-12.505,76.96,85,35,5.21
152,Avarua,CK,2022-06-30 04:43:40,-21.2078,-159.775,75.25,83,75,1.14
153,Acarau,BR,2022-06-30 04:43:40,-2.8856,-40.12,76.32,88,7,11.54
154,Bilibino,RU,2022-06-30 04:43:41,68.0546,166.4372,42.48,93,100,3.91
155,Beringovskiy,RU,2022-06-30 04:43:41,63.05,179.3167,46.36,88,45,16.33
156,Quchan,IR,2022-06-30 04:43:41,37.106,58.5095,78.39,41,0,7.61
157,Stryn,NO,2022-06-30 04:43:42,61.9045,6.7226,62.15,71,63,1.66
158,Poum,NC,2022-06-30 04:43:42,-20.2333,164.0167,74.23,69,86,10.38
159,Saint-Augustin,CA,2022-06-30 04:43:42,51.226,-58.6502,54.68,75,15,5.66
160,Bacolod,PH,2022-06-30 04:43:43,10.6667,122.95,86.79,70,89,10.78
161,Mao,ES,2022-06-30 04:43:43,39.8885,4.2658,68.56,100,20,5.75
162,Caravelas,BR,2022-06-30 04:43:43,-17.7125,-39.2481,67.24,92,0,5.14
163,San Isidro,PE,2022-06-30 04:43:44,-12.1167,-77.05,62.02,85,100,8.05
164,Esil,KZ,2022-06-30 04:43:44,51.9556,66.4042,59.41,56,23,10.89
165,Nikolskoye,RU,2022-06-30 04:43:45,59.7035,30.7861,70.88,46,48,2.53
166,Pringsewu,ID,2022-06-30 04:43:45,-5.3582,104.9744,84.49,53,69,4.0
167,Buala,SB,2022-06-30 04:43:45,-8.145,159.5921,84.83,71,25,12.62
168,Tamboril,DO,2022-06-30 04:43:46,19.4854,-70.611,74.7,94,20,3.44
169,Klaksvik,FO,2022-06-30 04:43:46,62.2266,-6.589,52.72,98,97,13.13
170,Chapais,CA,2022-06-30 04:43:46,49.7834,-74.8492,42.58,72,13,3.13
171,Nizhniy Tsasuchey,RU,2022-06-30 04:43:47,50.5167,115.1333,93.54,21,2,10.36
172,Seoul,KR,2022-06-30 04:39:12,37.5683,126.9778,74.8,94,100,9.22
173,Vanimo,PG,2022-06-30 04:43:47,-2.6741,141.3028,85.69,66,61,9.62
174,Hammerfest,NO,2022-06-30 04:43:48,70.6634,23.6821,52.25,100,75,16.11
175,Ettenheim,DE,2022-06-30 04:43:49,48.25,7.8167,67.37,88,0,2.3
176,Shingu,JP,2022-06-30 04:43:50,33.7333,135.9833,88.7,58,0,4.79
177,Cabo San Lucas,MX,2022-06-30 04:43:50,22.8909,-109.9124,85.51,57,13,3.0
178,Ostrovnoy,RU,2022-06-30 04:43:50,68.0531,39.5131,59.45,61,48,15.17
179,Santiago Del Estero,AR,2022-06-30 04:41:30,-27.7951,-64.2615,53.44,52,0,8.59
180,Berlin,DE,2022-06-30 04:40:18,52.5244,13.4105,68.9,75,75,7.0
181,La Ronge,CA,2022-06-30 04:43:51,55.1001,-105.2842,59.25,63,75,4.61
182,Charlestown,AU,2022-06-30 04:43:52,-32.95,151.6667,63.82,71,55,4.0
183,Iranshahr,IR,2022-06-30 04:43:52,27.2025,60.6848,97.14,38,100,0.0
184,Sistranda,NO,2022-06-30 04:43:52,63.7256,8.834,60.76,85,73,7.94
185,Palu,ID,2022-06-30 04:43:53,-0.8917,119.8707,79.86,92,100,1.97
186,Holme,DK,2022-06-30 04:43:55,56.1138,10.1725,62.19,91,2,5.57
187,Uniara,IN,2022-06-30 04:43:55,26.15,75.2167,92.21,53,89,13.15
188,Kaitangata,NZ,2022-06-30 04:43:56,-46.2817,169.8464,42.3,90,99,10.92
189,Vao,NC,2022-06-30 04:43:56,-22.6667,167.4833,70.9,59,97,14.38
190,Aldan,RU,2022-06-30 04:43:56,58.6031,125.3894,77.0,58,88,4.7
191,Harrisburg,US,2022-06-30 04:42:31,40.2737,-76.8844,69.94,78,0,8.99
192,Bac Lieu,VN,2022-06-30 04:43:57,9.285,105.7244,87.49,66,97,15.77
193,Ilulissat,GL,2022-06-30 04:43:58,69.2167,-51.1,41.02,81,75,5.75
194,Bambous Virieux,MU,2022-06-30 04:43:58,-20.3428,57.7575,69.22,94,40,4.61
195,Nanortalik,GL,2022-06-30 04:43:58,60.1432,-45.2371,38.57,96,59,16.22
196,Toamasina,MG,2022-06-30 04:43:59,-18.1667,49.3833,64.4,94,75,4.61
197,Tiksi,RU,2022-06-30 04:43:59,71.6872,128.8694,40.35,68,82,6.42
198,Bengkulu,ID,2022-06-30 04:43:59,-3.8004,102.2655,74.1,93,100,8.86
199,Santa Cruz,BO,2022-06-30 04:44:00,-17.8,-63.1667,62.06,82,0,4.61
200,Itarema,BR,2022-06-30 04:44:00,-2.9248,-39.9167,76.42,87,9,11.07
201,Myitkyina,MM,2022-06-30 04:44:01,25.3833,97.4,76.57,97,100,1.7
202,Nabire,ID,2022-06-30 04:44:01,-3.3667,135.4833,83.46,76,23,4.94
203,Valparaiso,CL,2022-06-30 04:42:14,-33.0393,-71.6273,55.47,86,0,4.61
204,Westport,US,2022-06-30 04:44:02,41.1415,-73.3579,71.42,85,0,4.61
205,Terney,RU,2022-06-30 04:44:02,45.0503,136.6092,61.66,85,99,4.63
206,Aswan,EG,2022-06-30 04:44:03,24.0934,32.907,83.5,28,0,11.5
207,Aklavik,CA,2022-06-30 04:44:03,68.2191,-135.0107,61.16,54,79,9.22
208,Okato,NZ,2022-06-30 04:44:03,-39.2,173.8833,56.52,88,91,15.01
209,Port Pirie,AU,2022-06-30 04:44:04,-33.1833,138.0167,60.66,53,11,15.57
210,Geraldton,AU,2022-06-30 04:44:04,-28.7667,114.6,64.81,45,0,14.97
211,Port Elizabeth,ZA,2022-06-30 04:44:04,-33.918,25.5701,43.09,87,0,2.3
212,Upata,VE,2022-06-30 04:44:05,8.0086,-62.3989,71.19,98,92,3.91
213,Ust-Nera,RU,2022-06-30 04:44:05,64.5667,143.2,63.28,62,92,6.11
214,Hanmer Springs,NZ,2022-06-30 04:44:06,-42.5167,172.8167,47.03,76,100,8.9
215,Minot,US,2022-06-30 04:44:06,48.2325,-101.2963,71.82,68,0,8.05
