City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Faya,SA,75.31,broken clouds,18.39,42.45,أبو تركي للوحدات السكنيه
396,Neiafu,TO,81.28,broken clouds,-18.65,-173.98,Mystic Sands Beachfront Accommodation
397,Puerto Ayacucho,VE,79.65,moderate rain,5.66,-67.62,Posada Turistica Manapiare
400,Limao,PH,76.68,scattered clouds,7.08,125.67,Paradise Island Park and Beach Resort
402,Itarema,BR,78.89,clear sky,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
404,Timbiqui,CO,78.67,moderate rain,2.77,-77.67,HOTEL TIMBIQUI
407,Cintalapa,MX,78.8,broken clouds,16.7,-93.73,Casa Blanca Hotel Hacienda
409,La Crosse,US,82.85,overcast clouds,43.8,-91.24,Holiday Inn & Suites La Crosse - Downtown
412,Bandarbeyla,SO,81.79,overcast clouds,9.49,50.81,JABIR HOTEL
419,Koplik,AL,80.2,clear sky,42.21,19.44,Hotel Antonis
421,Moses Lake,US,84.88,clear sky,47.13,-119.28,Ramada by Wyndham Moses Lake
423,Onalaska,US,80.65,overcast clouds,43.88,-91.24,Stoney Creek Hotel La Crosse - Onalaska
426,Nicoya,CR,81.48,light rain,10.15,-85.45,Las Cabinas Del Sueño
430,Ipixuna,BR,78.78,broken clouds,-1.76,-48.8,Chalé do Mato
432,Kutum,SD,80.17,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
435,Andrychow,PL,77.72,clear sky,49.85,19.34,Noclegi Nad Basenem
437,Matara,LK,80.42,scattered clouds,5.95,80.54,Amaloh Boutique Resort
438,West Fargo,US,78.85,few clouds,46.88,-96.9,Hilton Garden Inn Fargo
444,Carbonia,IT,79.02,broken clouds,39.17,8.52,Lu 'Hotel
447,Kahului,US,83.97,overcast clouds,20.89,-156.47,Maui Seaside Hotel
451,Nabire,ID,75.88,scattered clouds,-3.37,135.48,Hotel Nusantara I
454,Canutama,BR,80.74,few clouds,-6.53,-64.38,Hotel Jhennifer
456,Ahuimanu,US,83.86,broken clouds,21.44,-157.84,Paradise Bay Resort
457,Mana,GF,76.8,broken clouds,5.66,-53.78,LE SAMANA
459,College,US,77.58,smoke,64.86,-147.8,Pike's Waterfront Lodge
464,Ishigaki,JP,82.53,scattered clouds,24.34,124.16,Hotel Peace Land Ishigakijima
468,Mamallapuram,IN,82.45,overcast clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
476,Kabalo,CD,75.02,few clouds,-6.05,26.92,
490,Olinda,BR,76.73,broken clouds,-8.01,-34.86,Hotel 5 Sóis
492,Harper,LR,76.95,overcast clouds,4.38,-7.72,Screensaver
495,Goito,IT,79.66,clear sky,45.25,10.67,Residenza Gonzaga
496,Alta Floresta,BR,80.06,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
497,Fare,PF,79.29,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
506,Porto Torres,IT,75.38,clear sky,40.84,8.4,Hotel Elisa
507,Fukue,JP,77.49,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
510,Port-Gentil,GA,75.16,few clouds,-0.72,8.78,Fengshui Residence
515,Goderich,CA,80.92,overcast clouds,43.75,-81.72,Harmony Inn
516,Banda Aceh,ID,79.3,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
518,Kita,ML,75.02,overcast clouds,13.03,-9.49,Kouyou
528,Sao Felix Do Xingu,BR,79.45,overcast clouds,-6.64,-51.99,Aparte Hotel Rio Xingu
529,Mineros,BO,76.55,clear sky,-17.12,-63.23,Colpacaranda Eco Resort
531,Namatanai,PG,80.74,light rain,-3.67,152.43,Seagulls Inn Namatani
534,Mundi,IN,78.84,overcast clouds,22.07,76.5,TIWARI NIWAS
535,Baganga,PH,78.46,overcast clouds,7.57,126.56,RM PALMERA BY THE SEA (Building)
537,Miri,MY,75.34,moderate rain,4.41,114.01,"Mega Hotel, Miri"
541,Rexburg,US,81.0,clear sky,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
544,Dong Hoi,VN,78.48,light rain,17.48,106.6,Nam Long Hotel
557,Cabedelo,BR,77.67,clear sky,-6.98,-34.83,Pousada Camboinha
563,San Ramon,US,82.58,clear sky,37.78,-121.98,San Ramon Marriott
565,Ascension,US,84.99,broken clouds,30.22,-90.9,Highland Inn
571,Kilindoni,TZ,76.51,clear sky,-7.91,39.67,Bustani B&B
573,Vilhena,BR,84.42,clear sky,-12.74,-60.15,Hotel Mirage
575,San Cristobal,VE,77.18,overcast clouds,7.77,-72.22,Pirineos
581,Jaru,BR,76.98,clear sky,-10.44,-62.47,Hotel Paraná
583,Veraval,IN,83.26,overcast clouds,20.9,70.37,Lords Inn Somnath
587,Sabang,ID,82.92,overcast clouds,5.89,95.32,Hotel Citra
588,Liku,ID,75.65,light rain,-0.73,119.89,Kost annisa
589,Benghazi,LY,82.0,clear sky,32.12,20.07,Tibesti Hotel
591,Indramayu,ID,75.7,broken clouds,-6.33,108.32,Grand Trisula Hotel
604,Parvatsar,IN,77.49,moderate rain,26.88,74.77,Shree Hotel
611,Buenaventura,CO,78.46,broken clouds,3.88,-77.03,Hotel Victoria
614,Melito Di Porto Salvo,IT,82.29,few clouds,37.92,15.77,B&B Nereidi
617,Umm Lajj,SA,84.87,clear sky,25.02,37.27,Moon light Furnished Units
